1,1,5,0,8,23.09,2,0,1
2,1,6,1,5,24.74,1,-1,1
3,1,1,1,9,20.37,2,0,3
4,1,2,1,9,23.81,1,2,2
5,1,3,0,9,23.58,2,-1,3
6,1,4,0,8,24.37,2,-1,2
7,1,1,1,10,25.18,2,3,3
8,1,2,0,10,24.93,1,0,2
9,1,3,1,8,21.2,1,-1,3
10,1,4,1,7,21.15,2,0,2
11,1,5,0,7,23.12,2,2,1
12,1,6,0,8,20.43,1,2,1
13,1,1,1,1,22.09,2,0,3
14,1,2,0,7,21.8,1,-2,2
15,1,3,0,7,22.45,1,0,3
16,1,4,0,1,23.33,2,-1,2
17,1,5,1,8,21.91,2,1,1
18,1,6,1,10,25.38,1,-1,1
19,1,1,0,4,21.61,1,-1,3
20,1,2,1,9,22.95,2,0,2
21,1,6,1,8,22.67,2,2,1
22,1,4,0,5,19.75,2,-3,2
23,1,5,1,8,22.32,2,2,1
24,1,3,0,1,21.64,1,0,3
1,2,5,0,8,23.09,2,-2,3
2,2,6,1,5,24.74,1,1,2
3,2,1,1,9,20.37,2,1,2
4,2,2,1,9,23.81,1,0,3
5,2,3,0,9,23.58,2,0,1
6,2,4,0,8,24.37,2,-2,1
7,2,1,1,10,25.18,2,1,2
8,2,2,0,10,24.93,1,0,3
9,2,3,1,8,21.2,1,-4,1
10,2,4,1,7,21.15,2,1,1
11,2,5,0,7,23.12,2,1,3
12,2,6,0,8,20.43,1,1,2
13,2,1,1,1,22.09,2,0,2
14,2,2,0,7,21.8,1,1,3
15,2,3,0,7,22.45,1,1,1
16,2,4,0,1,23.33,2,-1,1
17,2,5,1,8,21.91,2,-4,3
18,2,6,1,10,25.38,1,3,2
19,2,1,0,4,21.61,1,0,2
20,2,2,1,9,22.95,2,-1,3
21,2,6,1,8,22.67,2,0,2
22,2,4,0,5,19.75,2,-2,1
23,2,5,1,8,22.32,2,0,3
24,2,3,0,1,21.64,1,-1,1
1,3,5,0,8,23.09,2,2,2
2,3,6,1,5,24.74,1,0,3
3,3,1,1,9,20.37,2,0,1
4,3,2,1,9,23.81,1,-1,1
5,3,3,0,9,23.58,2,-4,2
6,3,4,0,8,24.37,2,0,3
7,3,1,1,10,25.18,2,5,1
8,3,2,0,10,24.93,1,0,1
9,3,3,1,8,21.2,1,1,2
10,3,4,1,7,21.15,2,-3,3
11,3,5,0,7,23.12,2,3,2
12,3,6,0,8,20.43,1,2,3
13,3,1,1,1,22.09,2,0,1
14,3,2,0,7,21.8,1,0,1
15,3,3,0,7,22.45,1,0,2
16,3,4,0,1,23.33,2,-1,3
17,3,5,1,8,21.91,2,-1,2
18,3,6,1,10,25.38,1,1,3
19,3,1,0,4,21.61,1,-1,1
20,3,2,1,9,22.95,2,0,1
21,3,6,1,8,22.67,2,-1,3
22,3,4,0,5,19.75,2,-3,3
23,3,5,1,8,22.32,2,1,2
24,3,3,0,1,21.64,1,0,2
